hate_speech,tweet
non-hateful,no send the fucking challenge quit being a pussy
non-hateful,meet me later for a reach around Charlie Crist
hateful,
non-hateful,cracker....
hateful,ok wat ever u say whitey. u prolly never even seen shaft.
hateful,shut up lizard faggot nigger cunt
non-hateful,that's very logical because bitches love using my face as a toilet
non-hateful,what about yellow spots?
hateful,ya I know all the slang I'm racist I h8 porch monkies
non-hateful,your pet zebra. stripey?
non-hateful,"bitch shut up and hand me some of those flowers you selling, the light is about to change."
hateful,if the faggots can have a page y cant they?faggots offend me more than them
hateful,"im American, don't give 2 shits about the beaners, ship them beaners back"
non-hateful,looks like any other little porch monkey to me!
non-hateful,the little cunt can just die for all I care!
hateful,y don't that bitch just shoot herself? so sick of all those whores!
non-hateful,hurt hoes be like
non-hateful,&bitch no more on my account
non-hateful,I have an open mind and that bitch Beyonc&is crazy&
non-hateful,I was nice to the dumb bitch then she puts her nose all up in my business Eat shit white trash hoe
non-hateful,"brush lets just ignore the silly hoe. She's pregnant, hella hormones. tryna fuck with other people"
hateful,that was so gay. And I was tanning bitch. Juvie made me white
non-hateful,bitch looks like spongebob
non-hateful,shelby your pussy is beat up
non-hateful,All of these bitches lying
non-hateful,bout to be in ike a couple hours
non-hateful,drunk bitch used to eat my ass its relaxing
non-hateful,finger my pussy slowly with circular motion
non-hateful,finger my throbbing pussy
non-hateful,finger my wet throbbing pussy slowly as I cum on ur fingers
non-hateful,fuck my throbbing pussy slowly
non-hateful,fuck my wet pussy with ur huge cock
hateful,happy cuz I woke up white and not a nigger!
non-hateful,hells yeah fuckin sick ass bitch
non-hateful,my pussy is aching for ur follow bae
hateful,nigger!!
non-hateful,only a ratchet bitch would
non-hateful,so does my juicy pussy
non-hateful,I wonder if I have my very own NSA spook following me by now?
non-hateful,nice ears bitch you look like a god damn elephant..
non-hateful,I'm not delivering to that bitch boy anymore.
non-hateful,pussy.... I ain't had a coochie since I was 16 &
hateful,and you look like hmmm a nigger
non-hateful,bitches on my dick but look at me I'm fucking beautiful
non-hateful,"I don't fight or want to fight bitches who don't know who the fuck I am. Fuck I look like doing that? Nigga, PLEASE!"
non-hateful,"Nah, I'd NEVER ask a guy to ride down on a chick. What's the use of getting him in trouble for a trash-ass bitch?"
non-hateful,letz getup deep dish vocal mix Nagasaki Hiroshima yellow asian flu ^n emoto ill egg god? 
hateful,"
I wonders why dare ain't no colored folk up dare?"
non-hateful,"
Well ho di doe. Thank you"
non-hateful,bitch bought her son some talking bout I had to get em before they sold out
hateful,lol nigga just walk in that hoe looking for girls don't even wanna buy nothing
non-hateful,that hoe out now
hateful,Can you speak one coherent sentence without sounding like a nig? Seriously.
hateful,it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao
non-hateful,you fucking pussy
non-hateful,"ain't to show bout dem colored diamonds you talk about on da radio. 
Any diamond you gets from a colored be stolen"
non-hateful,"every time I beat you I'm ""being a faggot"" maybe I'm just being better than you lmao"
non-hateful,So many bitches you gon need to change ya name from Jebidiah to Bitches.
non-hateful,"Nah but I was worth that 52 character, bitch."
non-hateful,bruhhh I'm joking... Don't pop trunk on me I'm just a bitch ass niiiieeegggaaa
non-hateful,bitch ass
non-hateful,because you're the ratchetest of them all bitch
non-hateful,you do realize ya pussy stank right?
hateful,Hey u just followed me not long ago. Gonna nip that in da bud. like ur bio tho. U know the white devils stole our our
non-hateful,Happy Birthday pussy. Have a good one
non-hateful,ahhh stupid bitch!
non-hateful,i love seing new ones cause i save them and then youse them bitches lmfao
non-hateful,i donno who demz iz? But ima bout to get white gurll ghetto on there asses when i find out....
hateful,"Ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat"
non-hateful,awe boy you smell like monkey sex
non-hateful,he had the hoes too
non-hateful,you look like flappy bird
non-hateful,He must think you bump pussy. I no mind. I'll eat your and make you like the 
hateful,they call me yellow bone
hateful,that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
non-hateful,bitch we shot a music video
non-hateful,them bitches be smackin
non-hateful,"more like

Look at all those bitches"
non-hateful,fuck her right in the pussy
non-hateful,some of them bitches give you more than a virus
non-hateful,I'd pop dat lemon for some real pussy.
hateful,Id break that little bitches finger
hateful,done that spell check we know you meant fat liberal Dyke feminist Nazi bitches
non-hateful,right in the pussy
non-hateful,kike your a soft nigga &
non-hateful,Whats it say... I see bird in it... Lmao
non-hateful,is my big long lost brother I swear. I don't know what I'd do without this wetback.
hateful,you a bitch nigga
non-hateful,eyy that pushin one for me bro cause you know that bitch better blow hah
non-hateful,when bitches get inches they be like.
non-hateful,so what ur sayin is all I mess wit is hoes? 
hateful,1v1 gun game pussy
hateful,fag
non-hateful,guess who's eating cracker b without you
non-hateful,"Apple TV got the NFL channel on that bitch, I'm pretty sure they're all on there. I've watched a couple. "
hateful,"although I will concede that bitch bought into the ""funnel bitches to Dwight tho."
non-hateful,bitch I got a ring now ho I ain't fatherless no more ill fight you.
non-hateful,bitch you opulent as fuck refrain from conversing upon matters of the middle class.
hateful,"listen cuntrag whore bitch, shit be expensive as fuck, man. We had to do PR first that one year, this year was the wedding so."
hateful,lyin ass bitch 
hateful,you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a 
non-hateful,bread in general aint too good for ya...but honky bread the worst...&
hateful,I love Louis CK! Quit bein a faggot and suck that dick
non-hateful,I was gonna hold my tongue until I could get into another team but I couldn't do it anymore they're fuckin retarded.
hateful,Shin's a faggot. I'm glad your chipped him.
hateful,randies are fags
non-hateful,So you gon call me a nigger because of that? Fuck wrong with you?
hateful,just fuckin roasted this faggot
non-hateful,Son. We the sammich family out this bitch. She KNOW Joey love sammiches.
non-hateful,"shit ain't gon be funny when you need me to get you outta a horrific car crash, bitch."
non-hateful,you're filled with pimps and hoes. We'll just talk about those I knows. 
non-hateful,"hell no cause Brad still walked away like "" yeah i fucked that niggas bitch "" &"
hateful,we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
non-hateful,they still fucking trash. I cant eat those to save my life.
non-hateful,Quickscoping trash. TAKE OF THE TONY HAWK SETUP AND PLAY NORMALLY. THAT'S NOT WHAT SNIPERS ARE FOR!
hateful,that should read suck on my bacon encrusted middle finger Muslim twats
non-hateful,"touch&muzzie fuckers, hope it was set to go full of bacon and pork rinds"
non-hateful,^___^ still should've walked over and said something pussy
non-hateful,I got u bitch
non-hateful,"I argue that Cersei is neither evil nor a bitch. She's greedy, desperate to protect her children and to be valued in a world"
non-hateful,"Half jar of marmalade, shaved monkey, saran wrap, mini horse. Give your best scene. "
non-hateful,give me credit lil bitch
non-hateful,all trash to me
non-hateful,August is trash
non-hateful,my fuckin back still hurts but it was worth it. And I'm still mad about the hoe incident. Haha. 
non-hateful,u think that dream has anything to do with those two dumb bitches in San Diego lol
non-hateful,"ant is a pussy man, don't make me pull up the pic!!!!"
non-hateful,im a boss ass bitch
non-hateful,"lol you've tweeted ""bitch"" an excessive amount (for you) today. you ok?"
hateful,*yourself *faggot buy a dictionary
non-hateful,looks like you took a red marker and colored on your leg
hateful,thanks bruh dont ever forget we still on the look out for these faggots ................................. 
non-hateful,Sounds like there are some major bitches in your area.
hateful,you sure you ain't colored?
non-hateful,"
AIDS ain't all dat bad. You can become da hoe and do da crack and ain't gonna make no difference anyhow"
non-hateful,"
You tryin to say ofay?"
hateful,can always gets da colored folk back in da cage wit da KFC
non-hateful,dink now uknow thats not true
non-hateful,lmao this nigguh
non-hateful,"Gonna try and eliminate the word ""bitch"" out of my vocabulary. I need to start bettering myself"
non-hateful,"she's a right twat, I'd tell you, honestly Sky! Honestly &"
non-hateful,make me white trash cousin fucker
hateful,nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch
hateful,you a fucking wigger so stfu
non-hateful,Yeaa black bitches actin like they too good for an average nigga like they just got A1 credit and pussy
non-hateful,um no that only a fuck you bitch and done xavier will hopefully respect girls bc I am doing it alone and I don't want that
non-hateful,I never said you was a hoe guilty consents ass girl
hateful,fag
non-hateful,you better feel the love... I don't even show these hoes love lol
non-hateful,lmao denote got a bitch here right now but he love her
non-hateful,I want it to be somewhat of a collage .. Money jewels cartiers etc .. Jus little shit to let niccas know we still here
hateful,a nicca anxious to hear that shit my g
non-hateful,my nicca!
non-hateful,You guys wanna skull Fuck some clay birds this weeknd???
hateful,But...country music listeners really are hicks and alcoholics &
non-hateful,big booty hoes!
non-hateful,"oh you mean Noah zimmerman's cute ass &I mean he should, he talks to his hoes all day everyday . &amp; his girl Courtney &sooo"
non-hateful,looks prime for some trash pick up
hateful,and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile
non-hateful,&got all the bitches
hateful,u can just ask him to suck his dick not that hard white trash
hateful,niger
hateful,shit pic master hoe protecting ass bow tie nigga
hateful,"I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there."
hateful,"naaaaa, just popped across my TL, so I commented. But nice try faggot!"
non-hateful,teabaggers are anti American. Hows it feel to hate your country?
non-hateful,I don't think they believe in their communities ability to function w/out whitey. They choose to be hustled by big gov't...
hateful,what do you want fag
hateful,your a fag
non-hateful,do it then pussy
non-hateful,ill fuck you til you love me faggot
hateful,shut up you stupid bitch
non-hateful,at least after nearly two decades of complete trash they put out ATYSYC to redeem themselves.
non-hateful,these niggas must be deaf. When's the last time you heard a Roots song on the radio? Quest don't get bitches!
non-hateful,I took it harder when Rivera retired. I'm not a Yankee fan but I have a lot of love and respect for em. Especially the core 4
non-hateful,my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna
non-hateful,yeah wizards! Agent zero bitches
non-hateful,or your in the ghetto
non-hateful,because it's hilarious how it makes teabaggers freak out. I'll do it again too.
non-hateful,whole hoe outchea.......
hateful,"I was hangin' on them corners late Pockets wasn't straight, bitch! I ain't gon make it at this rate, dawg.. Know what I'm sayin?"
non-hateful,I would have loved to watch Newman bitch slap Johnson I'd pay to see that
non-hateful,Everybody knows that bitches love mullets 
non-hateful,we need to grow mullets together so we can get all the bitches and can hate on us
hateful,also is search of dirty white trash hookers for the weekends
non-hateful,awww shit lol I want my money too bitch. Who else I give one tO?
non-hateful,oh you little bitch you. You tryna hit the fair tho today or sometime this week? Shit might be fun drunk
non-hateful,"bitch better back up, Katy's mine"
non-hateful,"No, Cpt Commando is a hoe and a cocksucker"
non-hateful,when a bitch look his way 
non-hateful,And you know best about the bird moves...!!!
hateful,why would a white man even go to a nigger hell hole of Detroit? An I've worked in A town how. Y'all good niggers!
non-hateful,"Happy Another Group of 365 Days, you weird ass son of a bitch. That's why we all love you, though. Hoping there are riots in H-town"
non-hateful,"Kiss these nuts, bitch!"
hateful,Tyler isn't shit faggot go listen to some real music
hateful,fag
non-hateful,faggot
hateful,you don't know shit about me faggot bitch
non-hateful,absolutely retarded article 
non-hateful,am i really a fag if I'm liking that video
hateful,fag
hateful,faggot
hateful,not funny u faggot
non-hateful,ugly goldigging cunt u probably have an uncircumcised penis faggot
hateful,ur brother looks so queer and ugly
non-hateful,&no pressure hoe
non-hateful,"hoes saying ""eyebrows on fleek"" .. Search it on twitter"
non-hateful,"James, nobody (save a couple illiterate, inbred teabagger morons) gives a flying fuck about your ""revelations."""
hateful,&lt;&lt;BEST NAME ON TWITTER EVER!! AKA; Jewbacca&lt;&lt;SECOND BEST NAME ON TWITTER!!
non-hateful,damn your bitch really hoe'n for the F!!
non-hateful,"that's ""energy"" the City is ""Electric"" gotta go to Yankees Stadium, When they are winning. It is truly ""electrifying"""
hateful,nigger you are bigger than I am. Do you even ?
non-hateful,"momma didn't raise no sukka, bitch!"
non-hateful,use monkey maker you prick!
non-hateful,I hate that shit. Like bitch don't ask me for shit makin me waste my time and your dumb ass ain't even using it.
hateful,"I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &dans so funny."
non-hateful,yep. Texas is redneck heaven.
non-hateful,haha yuhh that hoe was funny
non-hateful,stank ass hoes haha
non-hateful,*bitch
non-hateful,fuck you bitch lol
non-hateful,shut up bitch
non-hateful,suck a dick hoe
hateful,you're gay bitch
non-hateful,no bitch lol
non-hateful,lmao you're on my timeline it ain't spying hoe lol
non-hateful,"bitch you beat after losing twice lol and we won 11, you just a hater"
hateful,bitch answer me lol
non-hateful,bitch you can't even say no lol
non-hateful,lmao you're a bitch boy
non-hateful,lol thanks bitch hahah Vegas ain't ready for us lol
non-hateful,shut up bitch
non-hateful,that don't mean you're not balling lol shut up hoe lol
hateful,that means you're balling if you're Jewish lol I don't love hoes lol
non-hateful,you're a bitch lol
non-hateful,no song I've heard was good is what I mean by he's trash
hateful,"please tell those fuming cops that they are a bunch of coward little bitches, and should not be allowed near weapons. Thanks."
non-hateful,they're both big bitches tho lol
hateful,good leave you stupid faggot
hateful,"huh, lol mad nigger is mad"
non-hateful,you ain't got no hoes lil jess you're a lil guy
non-hateful,"&who did you rob, them hoes like 4 online"
non-hateful,bitch ass nigggaaa
non-hateful,"I say it all the time same with fag and queer it's all about the context I suppose, some people are just looking to get offended"
non-hateful,The fact this bird ass nigga took my phone and did a light skin pose in school smh lol 
non-hateful,time to call hoes
hateful,Feels like it's been a year since I seen ya queer lolol
non-hateful,Nooo Amber's supposed to kill me fag
non-hateful,Did you say spray tan? **Charlie Crist switches back to Republican**
hateful,don't let idiots that can't even spell retarded get you down.
non-hateful,awwe i love you too jenny! Your so damn perf &amp; NOT ugly. Seriously dis bitch must be blind!
non-hateful,"it's also a bird, a city, and a math theorem. I make no assumptions!"
non-hateful,I can trap anywhere I wanna just because I ain't a bitch n in rarely solo.
non-hateful,go on Craigslist bitches be on there &
non-hateful,my luck the bitch gonna drug me an I won't even kno what happened lmao
non-hateful,she can suck dick tho that's better than brownies
non-hateful,ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao
hateful,you're a bitch
non-hateful,I can't be homeless in 2014.... but them bitches better not slip in 2015
non-hateful,bitch I might be
non-hateful,Bitch you just an inch taller than me &&amp; we normal height Jessyca and Daysi are just some short bitches &
hateful,lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard
non-hateful,"
Day is like coloreds dat wrap day hoes like mummies"
hateful,"&lt;
I hates to interject but cans I have yo digits? I likes wiggers dat wanna be fucked by coloreds"
hateful,happy birthday faggot
hateful,? Are you a race traitor or just a dumbass?
non-hateful,Hey Jim you'll love this 
hateful,"Just like ""FAT CHICKS NEED LOVE TOO"" I guess. 
Some Jeffrey Dommer Type would be all over that sloppy ho."
hateful,"and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days."
hateful,tranny
non-hateful,no homo bro love ya to!! Lets get some 151 an some Malibu rum!! Tech 9 this bitch haha
non-hateful,an just don't be a hoe about it! Haha
non-hateful,"Bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face BYE

"
non-hateful,You're such a bitch Carlton. You're lucky your fathers a judge.
non-hateful,"You need to insert a chill pill up your ass. Twice a day until your bitch assness goes away. If the problem persists, see a doctor."
hateful,Biden Calls Himself &Boy&in Meeting With Black Pastors 
hateful,I guess blaspheme to your Allah is ok if your pos muzzie huh? 
hateful,sit down and stfu raghead 
non-hateful,shut up faggot
non-hateful,But that bitch could care less about Benghazi victims!
non-hateful,Dog Government jobs is the SHIT. I done got my last few off that bitch.
hateful,sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag
non-hateful,you're such a pussy
non-hateful,"is big cat a ""fat pussy"" joke?"
non-hateful,go eat bear shit you fuckin yokel
non-hateful,dont talk to your hoe that way
non-hateful,lol wyo bitch
non-hateful,trash ain't it
non-hateful,like their players really been talking trash about Bama.
non-hateful,You sound like you're pussy whooped. 
hateful,"You're a sensitive, pussy whooped, no sense of humor, neo zoom maxi dweeb. Now sit your ass all the way down."
non-hateful,No good options left indeed. This president makes Jimmy Carter look like a piker. So sad.
non-hateful,true but then again I'm my opinion a hoe is someone who goes and sleeps with everybody
non-hateful,He's definitely trash. But if Bill Cohwer or Stanford 's head coach want the job I'd hire them. With a new gm of course
non-hateful,&pussy
non-hateful,he talkin bout we wanna be human and I'm just like .... bitch whet?
non-hateful,I'm a lil nigga?? Wait till you see nigga. You ain't ready. I'm from Chicago boy I ain't no pussy from the burbs. Just wait
hateful,fuck no faggot
non-hateful,thuggery? Cheating? Talking trash? Who's doing that besides Jameis? And isn't ND in the middle of cheating issues?
non-hateful,"I didn't really have one, was aware of Yankees, but always loved Dodgers uniform!"
non-hateful,"Yep. *sobs*

I got my hopes up when a couple of the national guys (including that Kiper/McShay mock) had him slipping."
hateful,you wouldn't last a day there hoe.
non-hateful,"she playin pussy hole bingo.
She drawing the next number"
hateful,"damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?"
hateful,"shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull"
non-hateful,it always looks so nice! I was gonna buy this yellow one
non-hateful,shut up pussy
hateful,faggot
hateful,i know bout yo wack ass dreads nigger
hateful,nah you're a nigger
non-hateful,Kik is for hoes.You either gone shit or get off the pot.
non-hateful,ain't no love 4 these hoes
non-hateful,shit he prolly is other than that everybody else trash
hateful,Cowboys fans are cunts? Stop the presses!
hateful,Are we still talking about animals? I know some Asian folks that would love to see how you prepare your pussy before eating it.
non-hateful,I'm not a bitch. Take it back.
non-hateful,I totally think the something when bitches come across mine saying we are similar. Uh no &
non-hateful,bitch merry Christmas
non-hateful,amen little mama. y does this old southern country bitch like you so much I don't know. but I do!
hateful,block or mute the cunt
non-hateful,"elissa would call me trash, vile, etc.!"
non-hateful,"get a can of WASP SPRAY. it shoots out 20 feet and cheaper than bear spay or mace, works just as good"
hateful,or a southern bitch like me who will blow a persons heart out of their back w/one shot!!!!
non-hateful,"thank god I'm just an "" old redneck bitch"" from Memphis ,Tn. And not a troll"
hateful,fuck u nigger
non-hateful,jus exsposin hoes on a whole different level &
non-hateful,"I want some.....I'm so damn tired of being in the fucking kitchen, a bitch is hot and needs a glass of wine and a back rub"
non-hateful,"bitch, wake up!"
non-hateful,"gross, ill stick with my galaxy, it will still receive those nips"
non-hateful,not nappy head hoe though &
non-hateful,if he wants bitches tip toein on his marble floors he will &
hateful,aint nobody asked yo faggot ass for a comment i know you peeped already you gay thats what u do for a living
non-hateful,&21 hoes
non-hateful,on sale ass hoes
non-hateful,big titty bitch lmao fuck it good party
hateful,"
Where the fuck were you this summer bitch?"
non-hateful,bye hoe
non-hateful,dnt use my shit against me hoe
non-hateful,negro please
non-hateful,yes u hoe
non-hateful,Lmao. it bel ike that nowadays
hateful,dont favorite me you faggot
non-hateful,"we need more opinionated bitches.

"
hateful,shut the fuck up faggot ass Knicks cock sucker your opinion is irrelevant fag
hateful,teabaggers are extremely dumb...
non-hateful,drinking away this stress. you got some new hoes for us?
hateful,"pretty sure you meant flight and not flite, dumb ass cracker."
non-hateful,I didn't know you was following me hoe &
non-hateful,"Oh but those last few that did.. Charlie, Wilma, Jeanne..."
non-hateful,politics isn't twitter coon lol
non-hateful,choke on something hoe
hateful,lmao cunt
non-hateful,fuck off my pussy boi bitch
non-hateful,me bitch im tryna keep a clean track record the fuck bruh
non-hateful,we dont love these hoes
hateful,is an evil hate whitey racist who thinks Delbert Belton deserved it. 
non-hateful,"Idk is she's actually from there lol, we followed a band. But we met a few bainbridgians. This bitch had like 4 teeth I swear lol"
hateful,&im joked out bitch you stupid!
non-hateful,likkadawgg turn up ya bitch...fw ya dawg man
non-hateful,tf bitch you had brain surgery and aint tell me??!?
non-hateful,make that llama your bitch
non-hateful,bitch. &
non-hateful,"lets get a group together &amp; do something negro, I'm home"
hateful,ugly nigger
non-hateful,"it's funny how this page quoted my tweet about the term ""camel jockey"" bc I AM a fucking Arab you dumbass &"
non-hateful,"thanks kass I respect you. Not you Annie, you're a bitch."
non-hateful,"I starting laughing ""worked out""...not b/c I think its funny that you work...
*throws phone in trash over butchered subtweet"
non-hateful,bitch nigga
non-hateful,ily hoe cheer up pretti
non-hateful,lol tell that hoe grow up ahaha
non-hateful,fuck bitches
hateful,I know nigs
non-hateful,"yo bitch, I miss you too."
non-hateful,lmao girlllaaaa I don't like em chunky anymore.&
non-hateful,dont get it twisted said aint playin ny state of mind when bitches is around *clicks link*
hateful,I woulda jus told skylar one night 'hey I got a flight in the mornin...you wit it or nah' while textin my brazilian bitch
non-hateful,LOL this is why u my nig
non-hateful,he jus need to go to brazil get himself a bad brazilian bitch and jus relax
non-hateful,"if yo girl let them in, she a hoe...she belong to the world, why u cuffing her"
non-hateful,why is he stressin himself this nig can be livin lik meech before he went to prison
hateful,your welcome my nig 
hateful,bitch your yuck
hateful,"gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
non-hateful,im on that hoe now
hateful,lmaooo hell naw nigga you must was playing school of blind and cripple
non-hateful,"I feel the same way about the bigotry and racism of using the word ""redskins""."
non-hateful,shut up bitch it ainn complete witout Money Melle n it
non-hateful,yellow shirt hat turnt to da side
non-hateful,"along with the French blue and Buggs bunny VIIs, and the Oreo IVs. "
non-hateful,please acknowledge my existence you amazing son of a bitch
non-hateful,do u still have ur blk. pom?
non-hateful,see bitch this is why you have no friends
non-hateful,"look here bitch if i wanted to be gramatically correct, i would have"
non-hateful,im talking about the pucture of the pussy cat you nit twit
non-hateful,"Him as well, They like their fried chicken,esp the spear chuckers."
non-hateful,He now resides on the Mantle piece.
non-hateful,Certainlt not the paddies
non-hateful,Man City and the Yankees have got together to form the 20th MLS club.They begin playing in 2015.
non-hateful,"Mr.Cox,the Chase me Charlie of his day.Bend over boy,while I conjugate your A**e"
non-hateful,Not taking Franks advice and he ate the yellow snow.
non-hateful,That twat Barry Hearne.It would seem to be all about there was no option for teams to share the venue.
non-hateful,The spear chuckers are flooding into Upton Park.
non-hateful,Yankees beat then in the Grapefruit league the other day.
non-hateful,"Yankees playing tonight in the Bronx,3rd game of the current series against the diamondbacks"
non-hateful,"You remember,it used to be funny coloured paper."
hateful,"nahh , whatever you are spook or spic, I still don't like you . Good day"
non-hateful,"""bitches ain't shit but hoes with tricks"""
non-hateful,do it i fucking dare you faggot
non-hateful,you cant call someone a fag if you're snuggling up with guys
hateful,so if your 17 and in high school you dont have your own house you fucking faggot
non-hateful,faggot
non-hateful,"""the stupidest bitch"" brb crying he called me stupid"
non-hateful,"Ohh Mr I'm all tough cause I live in a retarded city thinks he's cool. People like you should be shoveling my snow, broke bum."
non-hateful,apply to thunder valley bitch
non-hateful,look here I'm a thirsty ass bummy ass bitch ass 17 year old niqqa. &amp; I jus wanted to know if I can get a follow back please
non-hateful,when bet now i make sure that bitch is not involved that's 1 thing floyd and pac can agree on she screwed em both
non-hateful,I like him but I really doubt he even plays We already got a lot in the big man rotation committed to Bosh bird mcbob &amp; shawne
non-hateful,finished the essay and the quiz bitch
non-hateful,ok I just wanted to know bitch at 5:20 if you're not here I'm out
hateful,Because Ian's retarded
non-hateful,lol nigga them look like a combo of trash in your house &amp; trash at the dump
non-hateful,on god niggaa be tryna say aids been out longer and shit like no bitch Ebola been out here &
non-hateful,the bad bitch with them ugly ass nikes
hateful,Lol I'm not you just can't be sad about things you can't control. But when you walk that stage my nigglet I'll be happy :)
non-hateful,lmaoo &think I want this bitch YA me tiene cansada but thanks &hold up ... Who u fighting &
hateful,u stupid fuk head bitch
non-hateful,and the plastic surgery of a tranny.
non-hateful,quit being a baby & hit that patchouli pussy!
non-hateful,so she's retarded?
non-hateful,I think I did my job here! Toodles to you bitches &
non-hateful,speaking of little bitch you didn't even do all your squats you little bitch kept talking to distract everyone else &&icu
non-hateful,io.. lol osi tangi! Haha a tuku ho tangible Terryn! Atunga ho fie lea lahi mai!
hateful,if I can get this bitch to go --&gt;&gt; 
non-hateful,bitch you know the lingo hoe lol
non-hateful,lol toughen up pussy
non-hateful,that hoe skilled
non-hateful,we gotta find this hoe
non-hateful,song trash....
non-hateful,"boi stop! Aint no hoes in the 11th ward...never have been either, thats why nobody knew where our hood was..aint no hoes"
hateful,"i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week...."
hateful,is such a hoe . Wear your shoes ya big bitch .....you missed the couch shot Ray Allen bailed you out ......pussy
hateful,r u a faggot?
non-hateful,that shit chunky lol
non-hateful,"carne asada, Gallo pinto, tajadas verde, queso frito and a salad With milca"
hateful,psh if a (sexy) bitch gotta sexy voice she can easily get shit goin
non-hateful,pussy
non-hateful,stop being a pussy.
non-hateful,ha ha look what this fag said lol
hateful,u pulled.that queer shit as spon as u put no homo lol
non-hateful,yep lmao. Its been a hectic few weeks. Waddup ho
non-hateful,go Yankees
hateful,hahahh thank you fag boy! 
non-hateful,exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya
hateful,"
Inch that bitch out and flick it wit my tongue like a damn pinada"
hateful,don't pay dem bitches and they dirty ass chucks no mind bro
non-hateful,"we gotta get like 20 heads to go. Everyone brings tree, some bring food, bitches, and liquor of course."
non-hateful,"Homemade Angel Food, yellow cake with half-inch chocolate frosting, Devil's Food to die for, Pecan Pie"
non-hateful,"I was gone once, dog ran a coon up the transformer pole, she picked it off with one shot-and still had electricity!"
non-hateful,is having a birthday so make sure you tell that bitch be happy. &&&amp; celebrate without drugs &
non-hateful,why were there penguins and a bird in the puppy bowl???
non-hateful,lol damn. just thought i'd let you know. my dad was going super saiyan ape shit.
non-hateful,nooo I am....lmfao and don't bitch me ya bitch
non-hateful,I volunteer to be guinea pig and help test it out &
non-hateful,lmao...nigga talking like he bag bitches
hateful,"I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. "
non-hateful,well pee is oft yellow.
non-hateful,says the scrawny nigger.
non-hateful,prairie nigger
non-hateful,haha alright well you gotta get here and see this bitch haha you'll scare the shit outta him I already have
non-hateful,haha no but I was ready to slap that bitch again he came walkin in my room to say hi while I was playin saints in my underwear -_-
non-hateful,bitch
non-hateful,Fuck you bitch
non-hateful,all bitches all day all the time
hateful,fucking losers wetbacks 
non-hateful,; My ass just won't be on that hoe!
non-hateful,; so you about to purpose to Charlie?
hateful,"""I'm a dirty ass nigga with a clean dick. Fucked a bitch in her ass then she sucked my dick."" omg Lil B we aren't ready."
non-hateful,"her face ugly to me, &amp; her nudes were trash."
non-hateful,this hoe &
non-hateful,&my fault it sound like it fucc nicca
non-hateful,what you say bitch? 
non-hateful,"bare it bitch.
See what I did there"
non-hateful,keep them around so new bitches know they could be the next ex if they dont stay in line.
non-hateful,we're talking about fucking you right in the pussy
non-hateful,yer dirty pussy
hateful,do it pussy
non-hateful,"No woman deserves to be sole stomped like that. He is a bitch, and so is everyone watching doing nada."
non-hateful,Ppl who RT are even dumber than he is. The ole birds of a feather type of deal.
non-hateful,"Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions!"
non-hateful,Charlie Day?
non-hateful,you Sick bitch didnt even invite me
non-hateful,shut up bitch
hateful,"niggahs be like im draggn my nutts in 2 degree weather , out tgere Frozed like a bitch"
hateful,so your a dumb bitch?
hateful,ur so anal stfu for once u bitch
non-hateful,basically we ain't got room for basic bitches.
non-hateful,ha.. she got them bitches worked on
non-hateful,bitch I know you seen me tweet bout you
non-hateful,bitch bye.
hateful,bitch who is you?
non-hateful,&alright nah bitch you want play on Twitter.
non-hateful,&amp; you got cancer hoe
non-hateful,bitch you didn't feed me. You asked my to buy you a burger &
hateful,bitch nobody want you
non-hateful,bitch that's why I'm bouta go to waffle
non-hateful,bitch you not coming 
hateful,now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
non-hateful,I read that in his voice like a hoe&
non-hateful,fml both or half breed ex at the gym. Ugh
non-hateful,Nice pussy.
hateful,idk you into mouthy spics on welfare with 6 kids and 3 baby daddy's?
hateful,your a big yute to be having slits in your brows my darg lol drop it out
