id,test_case,label_gold,target_ident,direction,focus_words,case_templ
4959,Dat da bad thing bout being colored. Day bring me in to fight but don't vite me to da victory partay,non-hateful,,,,
4960,Dat nicca had Jordan cleats!,non-hateful,,,,
4961,Date a thug because you know they won't pussy out when it comes to defending you. ,non-hateful,,,,
4962,Dating you would be like Darnell dating that fatal attraction bitch Brandy lol,non-hateful,,,,
4963,Dats y I don't argue wit Dese bitches lol,non-hateful,,,,
4964,"Dave Chappelle turned into a BEAST! he WISHES someone would tell him ""I'm Rick James bitch"" so he can whoop that ass! http://t.co/eISMe6kXks",non-hateful,,,,
4965,David is bitch made ,non-hateful,,,,
4966,Dawg ass hoes,non-hateful,,,,
4967,"Dawg, what the fuck happened to ""so and so"" where did they go? Too worried bout bitches and fashion they go missing in action..",non-hateful,,,,
4968,"Dayum u gyp, u gone have mfs thinking im wiping my face w/pissy diapers n shyt grrrrrr",non-hateful,,,,
4969,"De Niro's wife in Casino is the second biggest cunt of all time, first is still George's mother in Blow",non-hateful,,,,
4970,Deandre Jordan banged dat bitch,non-hateful,,,,
4971,"Dear God, forgive us for a moral slope of values. Shacking is just a pretty word for perpetual fornication. Let's... http://t.co/h0URrTNDfZ",non-hateful,,,,
4972,"Dear Von Miller, Karmas a bitch.",non-hateful,,,,
4973,"Dear grumpy bitch at gibsons, no one wants to hear about your personal life.",non-hateful,,,,
4974,Dear inconsiderate ghetto fuck on the train across from me: ya know your phone has options other than speaker phone right?!?,non-hateful,,,,
4975,Decent trade for the a proven veteran for some prospects,non-hateful,,,,
4976,Dedication 4 hoe,non-hateful,,,,
4977,"Dee Gordon getting to ""he can fuck my bitch"" status with all these SBs",non-hateful,,,,
4978,Deez fat hoes kill me. I ain't seen this much crack since they locked meech up.lmfao,non-hateful,,,,
4979,Deez hoes be actin up..,non-hateful,,,,
4980,Defiantly going to see that new planet of the apes tonight,non-hateful,,,,
4981,Deion's a bitch,non-hateful,,,,
4982,Dekalb police are some hoes...,non-hateful,,,,
4983,Delusional thinks he can stop marriage in http://t.co/Sp6o6vOyDw ,non-hateful,,,,
4984,Dem niccas run plays too quick,non-hateful,,,,
4985,Denzie boutta be takin erry body bitch now!,non-hateful,,,,
4986,Des hoes silly goose's,non-hateful,,,,
4987,Des popcorn hoes be in da way all the time mannn :\,non-hateful,,,,
4988,Dese niggaz on Dat guala shit....... http://t.co/qcrTA7H80x,non-hateful,,,,
4989,Designer belt with a trash fit is still trash..,non-hateful,,,,
4990,"Despite the zebra red rocket special, portland beats those jersey shore floppers.",non-hateful,,,,
4991,"Destiny's Child song ""Say My Name"" is the insecure bitches anthem.",non-hateful,,,,
4992,"Detroit Lions, bitch",non-hateful,,,,
4993,Detroit nicca but I'm good in the A!!,non-hateful,,,,
4994,Dey gave da wrong nicca money,non-hateful,,,,
4995,Dey put us on lockdown cus dey searchin bitches cars fa dat dope,non-hateful,,,,
4996,Dey wants to rename our main street MLK Blvd. I told dem dat will even scare da colored folks away,non-hateful,,,,
4997,Dez is caked up with some bitch or something cause hes not playing like Dez Bryant,non-hateful,,,,
4998,Dick game make a faithful bitch start cheat in,non-hateful,,,,
4999,Dick so little ugly hoes tryna find me.,non-hateful,,,,
5000,"Did Miguel just ""Hulkamania Leg Drop"" a bitch from the top rope???",non-hateful,,,,
5001,"Did everyone else's parents use to refer to the Power Puff Girls as ""Powder Puff Girls"", or were mine just exceptionally retarded?",non-hateful,,,,
5002,Did he say the tastiest cuts or cunts??,non-hateful,,,,
5003,Did he say wayne chung bitch ?,non-hateful,,,,
5004,Did the Italian bird just call Janet a calzone? ,non-hateful,,,,
5005,Did we just become best friends with these hoes on the boat? Well probably so but we don't love em tho,non-hateful,,,,
5006,Did you all hear this redneck? Someone should show him how niggas play.,non-hateful,,,,
5007,Did you punk bitches take my salmon cream cheese?,non-hateful,,,,
5008,"Didn't get to hit the slopes today, but snowboarding lessons first thing in the morning! ",non-hateful,,,,
5009,Didn't know Alberta had Brampton bitches ,non-hateful,,,,
5010,Diets aren't for alcoholics.......a bitch be tipsy quick from eating veggies and shit,non-hateful,,,,
5011,Dirty hoe,non-hateful,,,,
5012,Dirty pop on the counter bitch dirty in it,non-hateful,,,,
5013,Dis be one sexy bitch http://t.co/lVCNeDp4PT,non-hateful,,,,
5014,Dis bitch blowin me man fuck u,non-hateful,,,,
5015,Dis bitch by my side and I'll never be broken. http://t.co/Nd2YtJkxgv,non-hateful,,,,
5016,Dis nicca lame,non-hateful,,,,
5017,Dnt play with yo girl heart thats why her pussy there for .,non-hateful,,,,
5018,"Do birds have dongs? How do they mate? Help me, I'm an adult who doesn't know how animal sex works!!!",non-hateful,,,,
5019,Do these glasses make my cunt look fat? http://t.co/pGSVqt9P2D,non-hateful,,,,
5020,"Do you ever look zayn and be like ""he cunt be reel""

 ",non-hateful,,,,
5021,"Do you expect me to be cute with you? Oh, hell no. I'm not a bitch, cuteness gets you planted in a relationship; a relationship you'll hate.",non-hateful,,,,
5022,"Do your dick hang low, do it wobble to and fro, can you tie it in a knot, can you stick it in a hoe?",non-hateful,,,,
5023,Does SZA have freckles on her pussy too?,non-hateful,,,,
5024,Does it bother anyone else that the planet of the apes timeline makes no sense?,non-hateful,,,,
5025,Doing her thang for you shoutout that real bitch,non-hateful,,,,
5026,Dom calls me bitch boy,non-hateful,,,,
5027,"Dominoes, moonlit lake, Velvet Underground, honey whiskey = white trash heaven. I accept your ridicule...but just tonight.",non-hateful,,,,
5028,"Don't ""k"" me you bitch",non-hateful,,,,
5029,Don't Hillary's verbal responses and aggressive interactions suggest either brain damage or a need for meds? Or maybe she's just a bitch!,non-hateful,,,,
5030,Don't be a broke hoe hating on a paid hoe!-,non-hateful,,,,
5031,"Don't be a fool, wrap your tool! 

....unless you wanna be a ratchet white bitch at the clinic with 4 baby daddies. She's apparently exempt",non-hateful,,,,
5032,Don't be a little bitch or I'll do this to you:) http://t.co/dty2geaVkE,non-hateful,,,,
5033,Don't be a pussy.,non-hateful,,,,
5034,Don't be mad cause yo bitch Choosin,non-hateful,,,,
5035,Don't be mad cause yo bitch Choosin and I put her ass in the Jacuzzi SPLASH,non-hateful,,,,
5036,Don't be no bitch &amp; not speak when I initiate a friendly hello.,non-hateful,,,,
5037,"Don't be using teeth, hoe that's childish",non-hateful,,,,
5038,Don't bring dat police ass nicca round me,non-hateful,,,,
5039,Don't concern yourself wit my mingling with other bitches.,non-hateful,,,,
5040,"Don't ever be ashamed of who you are, unless you're a hoe.",non-hateful,,,,
5041,"Don't ever kiss the other girl in a 3some, don't hug that hoe none of that",non-hateful,,,,
5042,Don't follow the astros they said. They're trash they said. Well now look at them ,non-hateful,,,,
5043,Don't fucc wit Coward cuz he a bitch n left LA,non-hateful,,,,
5044,Don't fuck widd no baby ass bitch in the words of deja lol,non-hateful,,,,
5045,Don't fuck with girls that wear beanies,non-hateful,,,,
5046,"Don't fw sloppy hoes, You might catch somethin..",non-hateful,,,,
5047,Don't get a mf attitude bitch. I'm not about to justify shit.,non-hateful,,,,
5048,Don't get yo bitch ass killed in new Atlanta baby!,non-hateful,,,,
5049,"Don't get your main bitch and side bitch confused, there's a big difference.",non-hateful,,,,
5050,"Don't hit me up talking bout ""who that bitch under yo pic"".. Get yo ass treated",non-hateful,,,,
5051,Don't judge me.. i am vindictive and vengeful when it comes to bitches disrespecting me.,non-hateful,,,,
5052,"Don't kiss these hoes in the mouth. 

Unless you have to.",non-hateful,,,,
5053,Don't let the hoes lie to you!! http://t.co/hknkpJ8ugU,non-hateful,,,,
5054,Don't let the power of the dollar turn you into a hoe.,non-hateful,,,,
5055,Don't let this natural hair care shit fool you. Some of you hoes need a perm.,non-hateful,,,,
5056,Don't love these hoes don't lean on bitches,non-hateful,,,,
5057,"Don't love yo bitch, just fuck yo bitch when I got time to do it",non-hateful,,,,
5058,Don't make me make you fall in love with a bitch* like me,non-hateful,,,,
5059,"Don't mind that Twinkies are gonna be gone, very concerned about the rest of hostesses product line",non-hateful,,,,
5060,Don't no nigga want an artificial bitch ... Let me repeat that.... Not one !!!,non-hateful,,,,
5061,Don't put too much effort into these bitches if you ain't gettin none back. Give them exactly what they give you,non-hateful,,,,
5062,"Don't really care if a fighters black, white, yellow or Dalmatian. If he is good he is good.",non-hateful,,,,
5063,"Don't talk about Homecoming until you actually do it. Otherwise, anti-NF people have a reason to mock the Party.",non-hateful,,,,
5064,Don't tell me Ryan Tannehill's better than Dogshit Alex Smith's trash ass too. Fuck.,non-hateful,,,,
5065,Don't throw me the pussy! Let me come get it,non-hateful,,,,
5066,Don't touch me bitch I'm famous.,non-hateful,,,,
5067,"Don't touch no sloppy hoes, You might catch somethin..",non-hateful,,,,
5068,Don't try and pull that fake friend shit on me bitch.,non-hateful,,,,
5069,Don't worry about the bitches I use to fuck wit.,non-hateful,,,,
5070,"Don't worry bout me I got it all arranged bitch. Mind your business, stay in your lane bitch

",non-hateful,,,,
5071,Don't you hate that dumb ass voice that everyone uses when they try to mock something you said?,non-hateful,,,,
5072,Don't you hate when someone you care about is dating a hoe but they won't listen to you?,non-hateful,,,,
5073,Done for the Yankees,non-hateful,,,,
5074,Dont believe them hoes.,non-hateful,,,,
5075,Dont ever really talk about your intentions to your boy that nigga might just turn around and take that pussy,non-hateful,,,,
5076,Dont fuck wit broke bitches,non-hateful,,,,
5077,"Dont you talk when im talking, you better mute it hoe",non-hateful,,,,
5078,Double Stuff Oreos mane say,non-hateful,,,,
5079,Double up on that blow bitch!,non-hateful,,,,
5080,Down to catch a body bitch!,non-hateful,,,,
5081,Drake gets the bitches,non-hateful,,,,
5082,"Drake vs. Tyga beef, Yung Berg, Lil Fizz, Chris Brown bitch rants on Twitter, ILOVEMAKONNEN getting drug off stage. Light skins taking L's",non-hateful,,,,
5083,Drake was singing that shit so bitches would buy NWTS...lmao. Nobody even remembers that album,non-hateful,,,,
5084,Dream job for a pedophile dressing up like mickey mouse and hugging kids all day,non-hateful,,,,
5085,Dreamed I was eating a brownie and started salivating and woke up almost coughing myself to death. Today is a struggle.,non-hateful,,,,
5086,"Dreaming of the pussy that I slept on, ""cat nap"".",non-hateful,,,,
5087,"Dress like a hoe, I'm goin at you like a hoe just like any other nite. Forget Halloween.",non-hateful,,,,
5088,"Dress shirt, saggy jeans, backwards Yankee hat now that's lifting swag",non-hateful,,,,
5089,Drink up bitches,non-hateful,,,,
5090,Drinking Coronas.... These bitches are quite tasty. .,non-hateful,,,,
5091,Drinking folie a deux wine and playing fall out bird hahaha,non-hateful,,,,
5092,Drita is that nicca! Lmao,non-hateful,,,,
5093,Drop dead gorgeous a bitch ain't dying for a nigga,non-hateful,,,,
5094,Drop her off? dat bitch a be walking if i wus driving....,non-hateful,,,,
5095,Drop it down for a niggah,non-hateful,,,,
5096,Drunkkkk HotBoxing these kushy blunts straight bumpin this hoe on some other shit bro i got mind fucked like when black zetzu betrayed,non-hateful,,,,
5097,Dude I work with is so pussy.,non-hateful,,,,
5098,Dude live next to me be hitting some ugly ass hoes Got Damn,non-hateful,,,,
5099,Dude said 1:30 bitch I took a whole nap before my 5:30 midterms,non-hateful,,,,
5100,Dude said ice jj fish created player on 2k retarded too lol,non-hateful,,,,
5101,Dude why do i have to be such a bitch..? Like i'm confused.,non-hateful,,,,
5102,Dudes have problems deciphering sex too.Side bitches get wifely love.You can't keep a secret if you're overdoing dirt.,non-hateful,,,,
5103,"Dudes kill me with that ""I wouldn't mess with Khloe Kardashian if she ain't have money"" I've seen the hoes y'all be hitting get real",non-hateful,,,,
5104,Dudes proudly volunteer to be baby daddy and 5.Whether they'll be a father or not all over some pussy property.,non-hateful,,,,
5105,"Dudes stay trying to hit on someone elses bitch, knowing they already taken.",non-hateful,,,,
5106,Dumb ass bitch,non-hateful,,,,
5107,Dumb ass bitch i swear,non-hateful,,,,
5108,Dumb ass fake bitches childish shit!!! Talk mad shit about each other and back to BEST FRIENDS? lmao,non-hateful,,,,
5109,Dumb ass student gets trapped in a giant sculpture http://t.co/5IzMLkvZZV ,non-hateful,,,,
5110,Dumb bitch leave me alone,non-hateful,,,,
5111,Dumb bitches are one thing that'll never become extinct..,non-hateful,,,,
5112,Dumb bitches that think Buddha says namaste,non-hateful,,,,
5113,Dumb cunt,non-hateful,,,,
5114,Dyke pastors be in The Lords house tryna cuff all the pussy bruh bruh,non-hateful,,,,
5115,"EBHGJHBGJBEJFB I saw this:

""ACH WEBSINGLE XXXXX8898 MARYLANDUNEMPINS""

And was like some bitch named Mary Landunem STOLE MY MONEY!",non-hateful,,,,
5116,EJ wanna be Michael Sam bitch so bad.,non-hateful,,,,
5117,Early bird get the worm.,non-hateful,,,,
5118,Early bird gets the worm right? Hopefully I get a job soon after today! http://t.co/lvgfVBqkdz,non-hateful,,,,
5119,Early bird gets the worm!,non-hateful,,,,
5120,Early bird gets the worm.... ,non-hateful,,,,
5121,Early morning beer as a reward for waking up and taking the trash out,non-hateful,,,,
5122,Early worm gets the bird http://t.co/dfE8MF2Q28,non-hateful,,,,
5123,Easy pussy doesn't motivate me,non-hateful,,,,
5124,Eat my dick bitch,non-hateful,,,,
5125,Eat that pussy like cold pizza...,non-hateful,,,,
5126,"Eat that pussy like i got the munchies,",non-hateful,,,,
5127,Eat the pussy like http://t.co/x0JDphNW53,non-hateful,,,,
5128,Eat your vegetables or you'll grow up to be a pussy,non-hateful,,,,
5129,Eating brownies and then going to the gym... Idk,non-hateful,,,,
5130,Eating pussy is fun,non-hateful,,,,
5131,Eating pussy on top of my shoulders,non-hateful,,,,
5132,Eattin all this pussy im startin to get chubby,non-hateful,,,,
5133,Either yall niggas just hella funny or she just tryna hoe around the block but you know.. http://t.co/x5feSfA1vB,non-hateful,,,,
5134,Elizbian is bitch and likes women,non-hateful,,,,
5135,Embrace it. Love it. Flip this group of mine runoff water colored turds off and make a pick.,non-hateful,,,,
5136,Emd hoe,non-hateful,,,,
5137,Emoji ass nigguh,non-hateful,,,,
5138,Energy vampires all around this bitch.,non-hateful,,,,
5139,Enjoying My bed. Just perfect For me My Teddy bear and monkey It. ,non-hateful,,,,
5140,Epic mickey time? Nahh.. Two and a half men while i shiver. Tht sounds more like it.,non-hateful,,,,
5141,Errrnigga tryna fuck the next nigga bitch not knowin his bitch is the next nigga bitch,non-hateful,,,,
5142,"Especially dem souf niccas, dat shit was outrageous",non-hateful,,,,
5143,"Evan Williams wit me, we find a bitch; have a minaj http://t.co/VRTG3DTNxc",non-hateful,,,,
5144,Even Humming birds like the stuff http://t.co/W7OHSCbg3L,non-hateful,,,,
5145,Even bitches with bad attitudes bumpin to our tunes.. They high maintenance.,non-hateful,,,,
5146,Even gtta AK sittn at my bitch house,non-hateful,,,,
5147,Even the birds think this waking up early thing is bunk. http://t.co/bqWlz5MBso,non-hateful,,,,
5148,"Even these pretty bitches mad self conscious, if that Instagram pic don't get enuff love it gets ",non-hateful,,,,
5149,Even they know you my bitch,non-hateful,,,,
5150,"Even though Lil Wayne's music has turned into trash, No Ceilings and I Am Not A Human Being will always be my favorites.",non-hateful,,,,
5151,Ever leave me around yo bitch and ima get her stoned,non-hateful,,,,
5152,Ever pop a bag of chips and that bitch bust open on the end facing the fuckin floor,non-hateful,,,,
5153,Every Psychology class has that annoying cunt who relates everything to herself just bc she has ADD and her parents got divorced ,non-hateful,,,,
5154,"Every bitch that love, bank account in overdraft",non-hateful,,,,
5155,Every bitch was born to break a man,non-hateful,,,,
5156,"Every character on is trash. And they're trash on purpose. If you don't get that, you don't get the joke.",non-hateful,,,,
5157,Every chick say that she a bad bitch.,non-hateful,,,,
5158,Every day I wake up celebrating. Why? I just dodged a bullet from a crazy bitch.,non-hateful,,,,
5159,"Every good story starts off with ""So this bitch..."" lol",non-hateful,,,,
5160,"Every nigga can make a female act like a bitch.
",non-hateful,,,,
5161,Every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch,non-hateful,,,,
5162,Every nigga trynna fuc the next nigga bitch not knowing his bitch is the next nigga bitch,non-hateful,,,,
5163,Every one of then would just be adding me to their collections of hoes,non-hateful,,,,
5164,Every pussy the same but I feel like I ain't get enough,non-hateful,,,,
5165,Every real nicca need a real bitch! ,non-hateful,,,,
5166,"Every time I fuck, I gotta hit me least like two bitches...",non-hateful,,,,
5167,"Every time I play a Patapon game and hear the ""Ushishi Theme"", I think of a beatboxing monkey. ""YO YO YO GET UPPA!!!""",non-hateful,,,,
5168,Every time my mom calls me it's to bitch at me about something lol,non-hateful,,,,
5169,"Everybody , Everybody everybody, Everybody sit yo bitch ass down and listen to this true motherfuckin told by Kendrick lamar rolls crash",non-hateful,,,,
5170,Everybody is being a bitch at my house,non-hateful,,,,
5171,"Everybody loves pot brownies, but I bring crystal meth cupcakes to a party, Suddenly I'm the weirdo",non-hateful,,,,
5172,Everybody that's still on Facebook ghetto or pregnant idc.,non-hateful,,,,
5173,Everyday I wake up I got a different bitch,non-hateful,,,,
5174,Everyone Needs To Stop Bitchin about Jeter... Youre witnessing the last week of baseball from the greatest player to wear a Yankees uniform,non-hateful,,,,
5175,Everyone is talking about LeBron James or The Voice and I'm just here eating cream filling out of Oreos.,non-hateful,,,,
5176,Everyone liked evil me. This me is a pussy. Fuck compassion.,non-hateful,,,,
5177,"Everyone thinks that I'm not the person on my id. Like look at my moles, I don't understand.. Like I colored my hair what a big difference",non-hateful,,,,
5178,Everyone up north is getting pregnant I'm glad my bitch ass moved down here,non-hateful,,,,
5179,"Everything don't deserve a reaction. So don't think because you do something that I'm jump..no, bitch I'm focused on money not your sad ass",non-hateful,,,,
5180,"Everytime I clean the room my mom tells me ""what bitch is coming over this time"" lmao what a dick !!",non-hateful,,,,
5181,Everytime I fuck I gotta hit me at least two bitches,non-hateful,,,,
5182,Everytime I go out I ain't never wit no new bitches http://t.co/bOL1Dby4ol,non-hateful,,,,
5183,"Everywhere you look, all you see is hillbilly deluxe... Big timin in a small town. ",non-hateful,,,,
5184,Ew I hate when ratchet ass hoes post 'stranger danger' ewww bitch,non-hateful,,,,
5185,Ewww bitch ,non-hateful,,,,
5186,Except I used to be super tan and now I'm yellow/pale lol...,non-hateful,,,,
5187,"Excuse me, here's your nose. I found it in my business hoe.",non-hateful,,,,
5188,Experience Charlie. Married woman who loves hot phone sex with strangers. Can you get me off? - 27 http://t.co/BjymDFo7pF,non-hateful,,,,
5189,Experience Charlie. Married woman who loves hot phone sex with strangers. Can you get me off? - 27 http://t.co/bpDqqPoGAe,non-hateful,,,,
5190,Extra hard for these hoes.,non-hateful,,,,
5191,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.,non-hateful,,,,
5192,Face only yo bitch could love http://t.co/OckXAYthAK,non-hateful,,,,
5193,Facebook is for fags,non-hateful,,,,
5194,Facebook is for the birds...I'm over it,non-hateful,,,,
5195,Facts can be a bitch sometimes. http://t.co/zZkAgXiVlU,non-hateful,,,,
5196,"Faded, swear to god I'm faded.. my bitch educated had her clients pay the payment",non-hateful,,,,
5197,Fairy Tale Hat - free crochet pattern for child and adult at http://t.co/0lRaBLMHB2 http://t.co/99zVbmYVe9,non-hateful,,,,
5198,Fairy tale world lmao,non-hateful,,,,
5199,Fake ass people. That's why I don't have no respect for em. Frontin ass bitches too,non-hateful,,,,
5200,Fake niccas ain't far dog they right in ya face!,non-hateful,,,,
5201,False start bitches,non-hateful,,,,
5202,Famous women be the biggest hoes.,non-hateful,,,,
5203,Fantasy squad doing so trash :/,non-hateful,,,,
5204,Fat bitches got the most pictures,non-hateful,,,,
5205,Fck dem old hoes..... No double entree...,non-hateful,,,,
5206,Fear no bitch,non-hateful,,,,
5207,"Feb 18 was a record setting day for the word faggot, apparently: http://t.co/rO9E1KUokg",non-hateful,,,,
5208,Fed ex some real hoe boys,non-hateful,,,,
5209,Feeeeeling tuna feelliiiing cunt,non-hateful,,,,
5210,Feel like a bitch for calling the cops on people but I'd rather this bitch go to jail then someone get hit by a wreck less driver.,non-hateful,,,,
5211,"Feel like i aint did this in a while , let me warm up 
Eat that pussy for a half an hour got her goin nuts",non-hateful,,,,
5212,"Feelin like I can have any bitch I want. 

Feelin like all these hoes in this bitch want me.",non-hateful,,,,
5213,Fell asleep and woke up to some weird ass staring at me. What? Never seen a beaner sleep before?,non-hateful,,,,
5214,Females act like they never seen a nicca who raise they kids .. The reaction makes me laugh every time,non-hateful,,,,
5215,Females always tryna make a nigga feel bad about some shit like bitch I'ma smoke this weed and be happy all day,non-hateful,,,,
5216,Females be damn near naked wondering why niccas jus wanna fuk lol,non-hateful,,,,
5217,"Females never understand that guys dont give af about females that they dont like liking them. Stop trippin, he dont know that hoe",non-hateful,,,,
5218,Females so dirty bro real talk you gotta play these bitches now day because if you don't they still gonna do it to you,non-hateful,,,,
5219,Females talk down on niccas when I can point out a few females who be on that tip!!,non-hateful,,,,
5220,Females use breast cancer awareness month as an excuse to be a hoe on social sites smh knowing damn well they know nothing about that shit.,non-hateful,,,,
5221,Fenkell in this bitch,non-hateful,,,,
5222,Ferrari addiction bitch it's a wonderful thing.,non-hateful,,,,
5223,Few Instagram likes a bitch swear dat she on,non-hateful,,,,
5224,"Fight night tonight, go Cotto. Smack that pompous cunt down in front of millions. ",non-hateful,,,,
5225,Figure all da ofay like to see my family pitcher http://t.co/5WXgKbCM29,non-hateful,,,,
5226,"Finally back behind the sticks, visit me bitches http://t.co/PiUBUqXb9Y",non-hateful,,,,
5227,Finally got an updated pic with angel wing colored http://t.co/nWN9qRt5Xd,non-hateful,,,,
5228,Finally got my medicine and crackers!,non-hateful,,,,
5229,"Finally running the game and everybody trippin now, but Ion give a fuck I got their bitches drippin now.",non-hateful,,,,
5230,Fine I'll settle for an Oreo milkshake,non-hateful,,,,
5231,Fine ass fat bitch... ,non-hateful,,,,
5232,Fine chicks lap dances always trash,non-hateful,,,,
5233,"Finished Yankeeography and still hate the Arizona D'backs for winning in 2001, Yankees shoulda had that",non-hateful,,,,
5234,Finna favorite my last tweet so niccas will kno I been knew wassup,non-hateful,,,,
5235,Finna get 86'd cause bitches in coming at me wrong,non-hateful,,,,
5236,"Fire, bitch. http://t.co/69ZrZ3MMNM",non-hateful,,,,
5237,Fireball has turned from a cool liquor I used to be sponsored by...to a drink for pussy country dudes who hear it in a song.,non-hateful,,,,
5238,"First ""best and drunkest Yankees game ever http://t.co/pKnLCylu",non-hateful,,,,
5239,First chick to bring me some hash-browns from Waffle House right now will get her pussy ate,non-hateful,,,,
5240,First game first play. DAT can fuck my bitch,non-hateful,,,,
5241,First jig of the night,non-hateful,,,,
5242,First of all you my type of bitch,non-hateful,,,,
5243,"First thing she wit ya, next minute she against ya, like that hoe from the clippers",non-hateful,,,,
5244,Fitted Girbuad straps? Them bitches would be raw as hell.,non-hateful,,,,
5245,Fizz a whole hoe outchea see would of been walking,non-hateful,,,,
5246,Flabby bird sounds Turrible. Lol. I'll just stick to watching paint dry...,non-hateful,,,,
5247,Flappy bird is gonna be the death of me,non-hateful,,,,
5248,Flappy bird on bull....,non-hateful,,,,
5249,Flappy bird stresses me out,non-hateful,,,,
5250,Flashin money but ya bitch nails not done..,non-hateful,,,,
5251,Flaw bitches. Flaw bitches everywhere.,non-hateful,,,,
5252,Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.,non-hateful,,,,
5253,Flipping back and forth between playoff baseball and the Trainwreck Formerly Known as the New York Jets,non-hateful,,,,
5254,Flo is a bad bitch,non-hateful,,,,
5255,Floppy bird chalmers over here taking after his hero LeBron,non-hateful,,,,
5256,Floyd please deliver me from temptation as I oh so wish this bitch would hurry thee fuck up so I can surfboard on my bed.,non-hateful,,,,
5257,Fly as a bitch on Aladdin rug,non-hateful,,,,
5258,Fly nicca no parachute,non-hateful,,,,
5259,Foles vs 9ers in San Fran or Eli vs redskins in DC,non-hateful,,,,
5260,Follow a nicca on IG: im_hollywood_jay,non-hateful,,,,
5261,Follow ah bitch on ig tho 1inkkofrosess,non-hateful,,,,
5262,Follow me back bitch.,non-hateful,,,,
5263,"Football the only thing I got! no bae I don't got no hoes, they all come and go!! time to just start focusing on something that's real",non-hateful,,,,
5264,For about the last hour of getting my stomach tattooed I felt like I was going to puke. God damnit ,non-hateful,,,,
5265,For all you hoes know I could be DJ Zetti,non-hateful,,,,
5266,For every thirst dog lies a thirsty bitch.,non-hateful,,,,
5267,"For guys ?bros over hoes?. For girls ?chicks over dicks?. For me, it?s ?whoever has my back over the fake ass people, any day?",non-hateful,,,,
5268,For some reason I always assume guys who act like that in trucks have tiny dicks HAHA ,non-hateful,,,,
5269,For such bold people confrontation seems to make bitches out of alot of you,non-hateful,,,,
5270,"Forget ""resting bitch face,"" the next hot new trend will be ""resting drunk face.""",non-hateful,,,,
5271,Forgiato Fest in Dallas this year fuck yeah bitch,non-hateful,,,,
5272,"Forreal forreal, I would let the founder of Capcom fuck my bitch. They made Street Fighter AND Marvel vs Capcom ",non-hateful,,,,
5273,Forte just trucked dude hoe ass lol,non-hateful,,,,
5274,Foto: imapython: bieg: albino sea turtle i think u mean soul of the ocean http://t.co/vYmiTsNCEn,non-hateful,,,,
5275,Foto: mimiblargh: ok pls consider this: kingdom birbs (can u guess who is who and what birds they are???... http://t.co/NWjUmmEWNJ,non-hateful,,,,
5276,Frankie is a twat. ,non-hateful,,,,
5277,Freak hoes,non-hateful,,,,
5278,Freak hoes got several,non-hateful,,,,
5279,"Free 5iiive nigga, let all a my dogs out. Moma said no pussy cats inside my dog house! http://t.co/E8baXOyPgg",non-hateful,,,,
5280,Free bird.,non-hateful,,,,
5281,Free birds. Lol,non-hateful,,,,
5282,Free lil cj bitch the wait is over ! ,non-hateful,,,,
5283,Free love &amp; sexual liberation SEEMED to be the dawn of lots of consequence free pussy for them 60s negroes. WHY WE ALWAYS FORGETTING HISTORY,non-hateful,,,,
5284,Free my brother turt and gn bitches,non-hateful,,,,
5285,"Free patterns - Adorable crochet borders Butterfly, ladybug, flower bumblebee and hat edging, trim, http://t.co/FOtJbqWyEg",non-hateful,,,,
5286,Free wop,non-hateful,,,,
5287,Freezing my nips off out here...,non-hateful,,,,
5288,"French word for potato translates as ""earth apple."" Banana is ""long yellow tree apple."" Submarines are ""big wet hollow kaboom apple.""",non-hateful,,,,
5289,Fresh out the gym but yet I'm bout to eat free birds.,non-hateful,,,,
5290,Fresh polo on you bitches,non-hateful,,,,
5291,Friday is gunna be my bitch,non-hateful,,,,
5292,Friend or foe nicca .. State ya biz,non-hateful,,,,
5293,Friendly advice to western reporters in Kobane: don't advertise your location. Jihadis are tracking u &amp; consider u a high-prize target ,non-hateful,,,,
5294,Friends become foes girlfriends become hoes.,non-hateful,,,,
5295,Friends don't let friends become guidos. ,non-hateful,,,,
5296,"From Jihadi streams: Rutba, Anbar Province, http://t.co/K6j37J2sgL",non-hateful,,,,
5297,From that point should saw how I treated that bitch fucked her now lose my number I ain't answering shit,non-hateful,,,,
5298,"From the ESPN Yankees game recap: ""the sellout crowd braved 61-degree temperatures."" LOL What??? That's not weather you struggle through.",non-hateful,,,,
5299,"Frozen peas and 
ibuprofen. My new best friends cripple",non-hateful,,,,
5300,Frustration can be a bitch !,non-hateful,,,,
5301,Fucc nicca,non-hateful,,,,
5302,Fucc u primo aint nobody ask u 2 fav dink lies,non-hateful,,,,
5303,Fucc yo face card nicca http://t.co/LFpQ4fHr9F,non-hateful,,,,
5304,"Fuccn yo bitch last night she say ""you the nigga!!'",non-hateful,,,,
5305,Fuck I'm such a bitch.,non-hateful,,,,
5306,Fuck Ya feelings ain't no sorries bitch,non-hateful,,,,
5307,Fuck a bitch flip a brick,non-hateful,,,,
5308,Fuck a hot head pussy I gt a cold heart,non-hateful,,,,
5309,"Fuck a nigga feelings, fuck a nigga bitch.",non-hateful,,,,
5310,Fuck a opp thot we'll shoot a bitch,non-hateful,,,,
